area_type,size,bath,balcony,price,total_sqft
Super built-up  Area,2 BHK,2.0,2.0,78.0,1326
Super built-up  Area,3 BHK,2.0,2.0,60.8,1325
Super built-up  Area,3 BHK,5.0,2.0,102.0,1499
Built-up  Area,6 Bedroom,7.0,2.0,210.0,3000
Super built-up  Area,3 BHK,3.0,2.0,88.0,1665
Super built-up  Area,2 BHK,2.0,2.0,37.0,708
Super built-up  Area,2 BHK,2.0,2.0,58.06,1060
Plot  Area,6 Bedroom,6.0,3.0,160.0,710
Built-up  Area,2 BHK,2.0,2.0,70.0,1000
Super built-up  Area,2 BHK,2.0,1.0,28.88,1000
Super built-up  Area,3 BHK,2.0,2.0,70.0,1450
Plot  Area,4 Bedroom,4.0,2.0,155.0,1200
Super built-up  Area,2 BHK,2.0,3.0,80.0,1296
Super built-up  Area,3 BHK,3.0,2.0,90.0,1540
Plot  Area,4 Bedroom,4.0,1.0,245.0,2894
Super built-up  Area,3 BHK,2.0,1.0,48.0,1330
Built-up  Area,2 BHK,2.0,1.0,65.0,1200
Built-up  Area,3 Bedroom,3.0,1.0,90.0,1200
Super built-up  Area,3 BHK,3.0,3.0,138.0,2502
Built-up  Area,2 BHK,1.0,1.0,17.0,650
Plot  Area,3 Bedroom,2.0,1.0,150.0,2400
Super built-up  Area,2 BHK,2.0,2.0,43.0,1007
Super built-up  Area,2 BHK,2.0,2.0,50.0,1200
Super built-up  Area,2 BHK,2.0,2.0,49.9,966
Built-up  Area,3 BHK,2.0,1.0,98.0,1630
Built-up  Area,3 BHK,3.0,2.0,229.0,1640
Built-up  Area,2 BHK,2.0,2.0,55.68,782
Super built-up  Area,2 BHK,2.0,2.0,66.78,1260
Super built-up  Area,3 BHK,3.0,3.0,120.0,1800
Super built-up  Area,3 BHK,2.0,2.0,75.0,1413
Super built-up  Area,2 BHK,2.0,1.0,51.91,1116
Super built-up  Area,3 BHK,2.0,1.0,45.9,1530
Built-up  Area,4 Bedroom,4.0,1.0,225.0,3700
Built-up  Area,3 Bedroom,3.0,2.0,140.0,2497
Super built-up  Area,3 BHK,2.0,3.0,64.0,1540
Super built-up  Area,3 BHK,3.0,1.0,74.75,1436
Super built-up  Area,2 BHK,2.0,2.0,75.0,1100
Plot  Area,2 Bedroom,3.0,3.0,23.0,276
Super built-up  Area,3 BHK,3.0,2.0,120.0,1427
Super built-up  Area,3 BHK,3.0,1.0,200.0,2061
Super built-up  Area,4 BHK,4.0,0.0,477.0,3067 - 8156
Built-up  Area,4 BHK,4.0,2.0,150.0,2650
Super built-up  Area,3 BHK,2.0,2.0,68.52,1282
Built-up  Area,2 BHK,2.0,1.0,34.0,1050
Built-up  Area,3 BHK,3.0,2.0,65.0,1600
Super built-up  Area,2 BHK,2.0,1.0,54.0,945
Super built-up  Area,2 BHK,2.0,1.0,78.0,1500
Plot  Area,7 Bedroom,7.0,0.0,115.0,950
Built-up  Area,3 BHK,3.0,3.0,110.0,1870
Plot  Area,3 Bedroom,3.0,1.0,75.0,1600
Super built-up  Area,2 BHK,1.0,1.0,16.5,880
Plot  Area,4 Bedroom,4.0,0.0,210.0,1200
Super built-up  Area,3 BHK,3.0,2.0,83.0,1535
Built-up  Area,2 BHK,2.0,1.0,57.0,950
Super built-up  Area,2 BHK,2.0,1.0,65.0,1360
Super built-up  Area,2 BHK,2.0,0.0,54.005,1042 - 1105
Super built-up  Area,3 BHK,3.0,1.0,50.4,1280
Super built-up  Area,3 BHK,2.0,2.0,85.05,1260
Built-up  Area,8 Bedroom,8.0,,250.0,5000
Super built-up  Area,5 BHK,5.0,1.0,213.0,3050
Super built-up  Area,3 BHK,3.0,1.0,105.0,1563.05
Super built-up  Area,2 BHK,2.0,1.0,60.0,1000
Super built-up  Area,2 BHK,2.0,1.0,43.76,1167
Super built-up  Area,7 BHK,7.0,2.0,225.0,4000
Super built-up  Area,3 BHK,3.0,,110.0,1828
Super built-up  Area,2 BHK,2.0,1.0,35.0,890
Super built-up  Area,3 BHK,3.0,3.0,46.74,1612
Plot  Area,6 Bedroom,5.0,,185.0,1034
Super built-up  Area,3 BHK,4.0,2.0,91.31,1710
Super built-up  Area,2 BHK,2.0,1.0,58.0,957
Super built-up  Area,3 BHK,2.0,3.0,44.0,1250
Super built-up  Area,3 BHK,4.0,,235.0,2795
Super built-up  Area,2 BHK,2.0,2.0,50.0,1125
Super built-up  Area,2 BHK,2.0,1.0,30.6,1020
Super built-up  Area,2 BHK,2.0,2.0,50.0,1200
Super built-up  Area,3 BHK,3.0,3.0,135.0,1735
Super built-up  Area,3 BHK,3.0,1.0,145.0,2050
Plot  Area,4 Bedroom,4.0,0.0,760.0,3750
Built-up  Area,3 BHK,2.0,3.0,48.0,1350
Super built-up  Area,2 BHK,2.0,1.0,32.0,1063
Super built-up  Area,3 BHK,3.0,1.0,150.0,1904
Built-up  Area,4 Bedroom,4.0,2.0,420.0,4200
Super built-up  Area,3 BHK,3.0,1.0,175.0,2000
Super built-up  Area,2 BHK,2.0,0.0,43.49,1145 - 1340
Super built-up  Area,3 BHK,2.0,2.0,75.0,1425
Super built-up  Area,3 BHK,2.0,1.0,64.5,1500
Built-up  Area,2 BHK,2.0,1.0,60.0,1060
Built-up  Area,3 BHK,2.0,2.0,70.0,1470
Super built-up  Area,6 BHK,6.0,0.0,99.0,1300
Super built-up  Area,1 BHK,1.0,1.0,11.0,450
Super built-up  Area,2 BHK,2.0,1.0,64.5,1152
Super built-up  Area,3 BHK,2.0,1.0,56.0,1350
Super built-up  Area,3 BHK,3.0,3.0,65.0,1550
Plot  Area,3 Bedroom,3.0,2.0,100.0,1500
Plot  Area,5 Bedroom,3.0,2.0,85.0,600
Plot  Area,1 Bedroom,1.0,0.0,14.0,400
Super built-up  Area,1 BHK,1.0,2.0,67.0,705
Built-up  Area,2 BHK,1.0,1.0,36.0,770
Super built-up  Area,2 BHK,2.0,3.0,51.0,1242
Super built-up  Area,3 BHK,3.0,2.0,155.0,1700
Super built-up  Area,3 BHK,3.0,2.0,145.0,2144
Super built-up  Area,3 BHK,3.0,2.0,110.0,1704
Super built-up  Area,2 BHK,2.0,1.0,52.0,1070
Plot  Area,3 Bedroom,3.0,2.0,300.0,1846
Super built-up  Area,2 BHK,2.0,2.0,55.7,1340
Built-up  Area,2 BHK,2.0,1.0,46.0,1025
Super built-up  Area,2 BHK,2.0,0.0,56.8,1015 - 1540
Super built-up  Area,2 BHK,2.0,2.0,52.0,1200
Built-up  Area,4 Bedroom,4.0,1.0,110.0,2250
Super built-up  Area,3 BHK,2.0,3.0,80.0,1550
Plot  Area,4 Bedroom,5.0,,325.0,1200
Plot  Area,7 Bedroom,7.0,1.0,250.0,1800
Super built-up  Area,2 BHK,2.0,2.0,60.0,1200
Super built-up  Area,2 BHK,2.0,2.0,98.0,1327
Super built-up  Area,2 BHK,2.0,2.0,58.0,1186
Built-up  Area,3 Bedroom,3.0,1.0,115.0,1783
Super built-up  Area,3 BHK,3.0,2.0,56.0,1400
Super built-up  Area,2 BHK,2.0,1.0,48.0,980
Super built-up  Area,2 BHK,2.0,2.0,82.0,1285
Super built-up  Area,3 BHK,2.0,1.0,70.0,912
Built-up  Area,2 BHK,2.0,2.0,47.6,1225
Super built-up  Area,2 BHK,2.0,1.0,53.0,1075
Built-up  Area,3 BHK,2.0,2.0,54.0,1260
Super built-up  Area,3 BHK,2.0,2.0,48.7,1282
Super built-up  Area,3 BHK,3.0,2.0,88.0,1909
Super built-up  Area,2 BHK,2.0,1.0,87.0,1359
Built-up  Area,2 BHK,2.0,2.0,43.5,1207
Plot  Area,4 Bedroom,6.0,0.0,190.0,1736
Super built-up  Area,4 BHK,4.0,1.0,428.0,2850
Super built-up  Area,3 BHK,3.0,2.0,65.0,1595
Built-up  Area,3 BHK,3.0,2.0,89.0,1798
Super built-up  Area,3 BHK,3.0,2.0,78.29,1475
Super built-up  Area,3 BHK,3.0,3.0,100.0,1580
Super built-up  Area,2 BHK,2.0,1.0,65.0,1295
Built-up  Area,6 Bedroom,6.0,0.0,141.0,3600
Super built-up  Area,1 BHK,1.0,1.0,27.0,589
Super built-up  Area,3 BHK,3.0,3.0,78.0,1415
Super built-up  Area,3 BHK,3.0,2.0,98.29,1787
Super built-up  Area,3 BHK,3.0,2.0,125.0,1787
Super built-up  Area,3 BHK,2.0,3.0,90.0,1475
Built-up  Area,4 BHK,4.0,1.0,75.5,2000
Super built-up  Area,2 BHK,2.0,1.0,44.28,984
Super built-up  Area,3 BHK,,,74.82,1520 - 1740
Super built-up  Area,3 BHK,4.0,2.0,260.0,2405
Built-up  Area,2 BHK,2.0,2.0,72.0,1080
Plot  Area,2 Bedroom,2.0,1.0,115.0,1500
Super built-up  Area,3 BHK,3.0,2.0,119.0,1900
Super built-up  Area,2 BHK,2.0,1.0,22.14,805
Super built-up  Area,2 BHK,2.0,2.0,56.4,1153
Super built-up  Area,2 BHK,2.0,2.0,60.0,1148
Super built-up  Area,2 BHK,2.0,2.0,55.0,1110
Built-up  Area,2 BHK,2.0,2.0,42.0,1100
Super built-up  Area,2 BHK,2.0,2.0,110.0,1290
Super built-up  Area,3 BHK,2.0,1.0,65.0,1500
Super built-up  Area,2 BHK,2.0,2.0,39.0,1080
Super built-up  Area,3 BHK,3.0,1.0,129.0,1933
Built-up  Area,5 Bedroom,5.0,2.0,150.0,3500
Built-up  Area,2 BHK,2.0,2.0,60.0,1060
Super built-up  Area,1 BHK,1.0,1.0,16.45,645
Plot  Area,8 Bedroom,8.0,2.0,180.0,2600
Super built-up  Area,1 BHK,1.0,1.0,16.45,645
Super built-up  Area,3 BHK,3.0,3.0,84.0,1644
Super built-up  Area,2 BHK,2.0,3.0,72.5,1285
Plot  Area,3 Bedroom,3.0,1.0,90.0,1200
Super built-up  Area,2 BHK,2.0,1.0,40.0,910
Super built-up  Area,3 BHK,3.0,1.0,70.0,1577
Plot  Area,3 Bedroom,3.0,2.0,280.0,4050
Super built-up  Area,3 BHK,3.0,2.0,185.0,2420
Super built-up  Area,2 BHK,1.0,1.0,20.0,800
Built-up  Area,2 BHK,2.0,2.0,55.0,1060
Super built-up  Area,2 BHK,2.0,2.0,93.0,1270
Super built-up  Area,2 BHK,2.0,2.0,22.5,900
Built-up  Area,2 Bedroom,2.0,1.0,69.0,1280
Plot  Area,4 Bedroom,2.0,0.0,95.0,1200
Built-up  Area,2 BHK,2.0,2.0,36.0,1025
Super built-up  Area,2 BHK,2.0,1.0,63.0,1108
Plot  Area,5 Bedroom,5.0,,170.0,1200
Super built-up  Area,3 BHK,3.0,2.0,170.0,3045
Plot  Area,4 Bedroom,3.0,2.0,300.0,2900
Super built-up  Area,3 BHK,3.0,2.0,75.5,1500
Super built-up  Area,2 BHK,2.0,2.0,43.9,1295
Super built-up  Area,2 BHK,2.0,1.0,59.9,1162
Super built-up  Area,2 BHK,2.0,2.0,49.2,1035
Built-up  Area,4 Bedroom,4.0,0.0,52.8,1600
Super built-up  Area,3 BHK,3.0,2.0,46.0,1464
Super built-up  Area,3 BHK,2.0,2.0,61.58,1866
Super built-up  Area,2 BHK,1.0,1.0,26.0,700
Super built-up  Area,3 BHK,3.0,2.0,120.0,1804
Super built-up  Area,2 BHK,2.0,1.0,32.0,913
Super built-up  Area,3 BHK,3.0,2.0,131.0,1868
Built-up  Area,2 BHK,2.0,1.0,45.0,883
Plot  Area,2 Bedroom,2.0,1.0,110.0,900
Super built-up  Area,3 BHK,2.0,3.0,73.95,1664
Super built-up  Area,3 BHK,3.0,2.0,132.0,2026
Super built-up  Area,2 BHK,2.0,1.0,80.9,1210
Plot  Area,4 Bedroom,4.0,2.0,250.0,4111
Super built-up  Area,3 BHK,3.0,3.0,91.45,1762
Super built-up  Area,3 BHK,3.0,3.0,55.0,1252
Built-up  Area,2 BHK,2.0,1.0,34.5,861
Built-up  Area,3 BHK,2.0,1.0,100.0,1420
Plot  Area,6 Bedroom,6.0,0.0,250.0,1450
Built-up  Area,3 BHK,3.0,1.0,78.8,1490
Super built-up  Area,3 BHK,2.0,1.0,46.0,1075
Super built-up  Area,3 BHK,2.0,2.0,94.0,1425
Built-up  Area,2 BHK,2.0,1.0,40.0,1200
Super built-up  Area,3 BHK,2.0,2.0,56.0,1280
Super built-up  Area,2 BHK,2.0,2.0,50.0,1084
Super built-up  Area,2 BHK,2.0,2.0,25.88,1015
Super built-up  Area,2 BHK,2.0,1.0,51.25,1017
Super built-up  Area,2 BHK,2.0,2.0,44.0,1027
Super built-up  Area,2 BHK,2.0,2.0,45.0,1069
Super built-up  Area,2 BHK,2.0,1.0,98.2,1349
Super built-up  Area,2 BHK,2.0,1.0,50.0,1005
Super built-up  Area,2 BHK,2.0,3.0,75.0,1417
Plot  Area,3 Bedroom,3.0,1.0,98.0,1475
Carpet  Area,2 BHK,2.0,2.0,47.0,950
Super built-up  Area,4 BHK,4.0,0.0,120.0,2000
Plot  Area,3 Bedroom,3.0,1.0,140.0,880
Super built-up  Area,4 BHK,3.0,2.0,104.0,1863
Super built-up  Area,2 BHK,2.0,1.0,29.5,1010
Super built-up  Area,3 BHK,2.0,1.0,70.0,1425
Super built-up  Area,3 BHK,3.0,0.0,100.0,1450
Super built-up  Area,3 BHK,3.0,2.0,105.0,1847
Super built-up  Area,2 BHK,2.0,3.0,45.0,1100
Super built-up  Area,1 BHK,1.0,1.0,26.0,525
Super built-up  Area,3 BHK,3.0,2.0,95.0,1665
Super built-up  Area,4 BHK,4.0,3.0,65.0,1664
Super built-up  Area,3 BHK,3.0,3.0,150.0,1850
Super built-up  Area,2 BHK,2.0,3.0,100.0,1438
Super built-up  Area,3 BHK,3.0,3.0,115.0,1560
Super built-up  Area,2 BHK,2.0,1.0,55.55,1350
Super built-up  Area,3 BHK,3.0,3.0,67.0,1550
Super built-up  Area,2 BHK,2.0,2.0,46.5,1140
Plot  Area,5 Bedroom,5.0,2.0,180.0,1200
Super built-up  Area,2 BHK,2.0,2.0,27.0,850
Super built-up  Area,2 BHK,2.0,2.0,75.0,1280
Built-up  Area,2 BHK,2.0,2.0,52.0,1170
Super built-up  Area,2 BHK,2.0,1.0,51.0,1113
Super built-up  Area,2 BHK,2.0,1.0,83.09,1385
Super built-up  Area,2 BHK,2.0,1.0,65.0,1128
Plot  Area,2 Bedroom,2.0,2.0,128.0,1200
Plot  Area,4 Bedroom,4.0,3.0,165.0,1200
Super built-up  Area,3 BHK,3.0,2.0,415.0,2390
Plot  Area,4 Bedroom,4.0,1.0,400.0,2400
Super built-up  Area,3 BHK,3.0,2.0,56.0,1464
Super built-up  Area,2 BHK,2.0,2.0,55.0,1200
Super built-up  Area,2 BHK,2.0,2.0,52.0,1200
Super built-up  Area,3 BHK,2.0,1.0,55.0,1150
Built-up  Area,3 BHK,3.0,2.0,95.0,1645
Super built-up  Area,2 BHK,2.0,1.0,67.0,1000
Plot  Area,4 Bedroom,4.0,2.0,198.0,2650
Super built-up  Area,2 BHK,2.0,2.0,74.0,1192
Super built-up  Area,3 BHK,3.0,2.0,215.0,2135
Super built-up  Area,2 BHK,2.0,1.0,58.0,1173
Built-up  Area,2 BHK,2.0,2.0,45.0,1020
Super built-up  Area,4 BHK,6.0,2.0,230.0,3122
Super built-up  Area,3 BHK,3.0,3.0,64.0,1600
Plot  Area,2 Bedroom,2.0,0.0,79.0,1200
Carpet  Area,2 BHK,2.0,3.0,48.0,1230
Super built-up  Area,2 BHK,2.0,2.0,40.0,1250
Super built-up  Area,2 BHK,2.0,2.0,76.0,1325
Built-up  Area,3 BHK,3.0,1.0,150.0,1850
Super built-up  Area,1 BHK,,,21.53,525
Super built-up  Area,2 BHK,2.0,2.0,65.0,1200
Plot  Area,3 Bedroom,2.0,0.0,140.0,1350
Super built-up  Area,3 BHK,3.0,1.0,49.36,1260
Super built-up  Area,3 BHK,3.0,0.0,150.0,1800
Plot  Area,3 Bedroom,3.0,2.0,74.0,11
Built-up  Area,2 BHK,2.0,1.0,43.25,1100
Super built-up  Area,2 BHK,2.0,1.0,77.0,1508
Carpet  Area,3 BHK,3.0,2.0,75.0,1592
Super built-up  Area,2 BHK,2.0,3.0,57.0,1388
Super built-up  Area,1 BHK,1.0,1.0,28.35,630
Plot  Area,3 Bedroom,3.0,2.0,365.0,2000
Super built-up  Area,3 BHK,3.0,1.0,125.0,1762
Super built-up  Area,2 BHK,2.0,2.0,50.0,950
Super built-up  Area,4 BHK,5.0,3.0,335.0,3252
Super built-up  Area,2 BHK,2.0,1.0,50.0,1116
Super built-up  Area,2 BHK,2.0,2.0,89.04,1308
Super built-up  Area,3 BHK,3.0,0.0,90.0,1200
Plot  Area,4 Bedroom,4.0,2.0,230.0,1500
Built-up  Area,1 BHK,1.0,1.0,18.5,500
Super built-up  Area,2 BHK,2.0,1.0,52.0,1075
Super built-up  Area,1 BHK,1.0,0.0,11.66,530
Built-up  Area,2 BHK,2.0,3.0,66.0,1205
Super built-up  Area,2 BHK,2.0,2.0,60.0,1075
Built-up  Area,2 BHK,2.0,2.0,39.0,930
Super built-up  Area,2 BHK,2.0,1.0,60.0,1380
Super built-up  Area,4 BHK,5.0,2.0,212.0,2483
Built-up  Area,2 BHK,2.0,2.0,55.0,1166
Super built-up  Area,2 BHK,2.0,1.0,65.0,1050
Super built-up  Area,3 BHK,3.0,2.0,275.0,2023.71
Super built-up  Area,2 BHK,2.0,2.0,46.8,1200
Super built-up  Area,3 BHK,2.0,1.0,108.0,1600
Super built-up  Area,3 BHK,3.0,2.0,110.0,1935
Super built-up  Area,1 BHK,1.0,0.0,29.9,451
Super built-up  Area,3 BHK,3.0,2.0,95.0,1800
Super built-up  Area,3 BHK,3.0,0.0,77.0,1400
Super built-up  Area,3 BHK,3.0,2.0,115.0,1801
Built-up  Area,2 BHK,2.0,,90.0,1451
Plot  Area,2 Bedroom,1.0,1.0,36.0,1200
Super built-up  Area,2 BHK,2.0,2.0,44.0,1160
Built-up  Area,2 BHK,2.0,1.0,25.0,1000
Super built-up  Area,2 BHK,2.0,1.0,40.0,950
Built-up  Area,3 BHK,3.0,2.0,79.0,1629
Built-up  Area,3 BHK,2.0,0.0,134.0,1580
Super built-up  Area,3 BHK,3.0,2.0,121.0,1826
Built-up  Area,2 BHK,2.0,1.0,94.0,1245
Super built-up  Area,2 BHK,2.0,2.0,45.79,1145
Super built-up  Area,2 BHK,2.0,1.0,33.0,825
Super built-up  Area,3 BHK,3.0,3.0,108.0,1693
Super built-up  Area,2 BHK,2.0,2.0,53.0,1113.27
Built-up  Area,2 BHK,2.0,1.0,58.0,1460
Built-up  Area,2 BHK,2.0,1.0,32.0,1050
Built-up  Area,2 BHK,2.0,2.0,55.0,1260
Super built-up  Area,6 BHK,3.0,,120.0,700
Built-up  Area,2 BHK,2.0,1.0,120.0,1656
Super built-up  Area,3 BHK,3.0,1.0,45.0,1208
Super built-up  Area,3 BHK,3.0,2.0,161.0,1910
Super built-up  Area,4 BHK,4.0,1.0,230.0,3252
Plot  Area,2 Bedroom,2.0,1.0,65.0,1200
Super built-up  Area,4 BHK,4.0,1.0,175.0,1200
Super built-up  Area,2 BHK,2.0,1.0,82.0,1175
Plot  Area,2 Bedroom,2.0,0.0,165.0,1000
Plot  Area,4 Bedroom,2.0,0.0,125.0,1200
Super built-up  Area,3 BHK,3.0,2.0,410.0,2390
Super built-up  Area,7 BHK,6.0,3.0,2200.0,12000
Plot  Area,2 Bedroom,1.0,1.0,62.0,550
Super built-up  Area,1 BHK,1.0,0.0,18.5,34.46Sq. Meter
Super built-up  Area,2 BHK,2.0,,38.0,1185
Super built-up  Area,2 BHK,2.0,1.0,38.0,750
Plot  Area,6 Bedroom,7.0,3.0,250.0,1200
Super built-up  Area,3 BHK,3.0,3.0,64.5,1550
Built-up  Area,3 BHK,3.0,2.0,88.0,1760
Super built-up  Area,2 BHK,2.0,2.0,62.0,1125
Plot  Area,3 Bedroom,3.0,2.0,150.0,1350
Plot  Area,2 Bedroom,2.0,1.0,55.0,1000
Built-up  Area,2 BHK,2.0,2.0,31.48,1090
Plot  Area,2 Bedroom,2.0,0.0,60.0,1200
Super built-up  Area,3 BHK,4.0,2.0,103.0,1991
Super built-up  Area,2 BHK,2.0,1.0,26.5,1060
Super built-up  Area,2 BHK,2.0,1.0,75.0,1105
Built-up  Area,2 BHK,2.0,2.0,67.0,985
Plot  Area,6 Bedroom,5.0,3.0,85.0,1533
Super built-up  Area,3 BHK,3.0,2.0,79.0,1590
Super built-up  Area,2 BHK,2.0,2.0,55.0,1120
Super built-up  Area,2 BHK,2.0,1.0,55.0,1069
Super built-up  Area,3 BHK,3.0,2.0,140.0,1933
Built-up  Area,2 BHK,2.0,0.0,69.0,1194
Super built-up  Area,2 BHK,2.0,3.0,69.0,1150
Super built-up  Area,2 BHK,2.0,2.0,47.12,1240
Super built-up  Area,2 BHK,2.0,2.0,48.1,1419
Plot  Area,8 Bedroom,8.0,,250.0,1200
Super built-up  Area,3 BHK,4.0,,240.0,2150
Super built-up  Area,3 BHK,3.0,2.0,55.0,1450
Super built-up  Area,3 BHK,3.0,2.0,68.29,1630
Super built-up  Area,2 BHK,1.0,1.0,40.0,708
Plot  Area,3 Bedroom,4.0,3.0,110.0,1000
Plot  Area,4 Bedroom,4.0,3.0,700.0,11890
Super built-up  Area,2 BHK,2.0,1.0,76.0,1250
Super built-up  Area,3 BHK,2.0,1.0,95.0,1400
Super built-up  Area,3 BHK,2.0,3.0,57.0,1670
Super built-up  Area,3 BHK,3.0,2.0,100.0,1750
Super built-up  Area,2 BHK,2.0,1.0,71.0,1404
Super built-up  Area,3 BHK,2.0,2.0,95.0,1715
Built-up  Area,1 BHK,1.0,1.0,34.65,630
Super built-up  Area,3 BHK,3.0,2.0,135.0,1752.12
Super built-up  Area,3 BHK,3.0,2.0,78.0,1650
Super built-up  Area,2 BHK,2.0,1.0,55.47,1295
Plot  Area,3 Bedroom,3.0,2.0,252.0,1800
Super built-up  Area,2 BHK,2.0,1.0,74.03,1346
Plot  Area,4 Bedroom,4.0,2.0,200.0,1200
Super built-up  Area,2 BHK,2.0,2.0,55.0,1150
Built-up  Area,4 Bedroom,4.0,3.0,325.0,3309
Super built-up  Area,3 BHK,2.0,2.0,30.35,1190
Super built-up  Area,3 BHK,3.0,2.0,98.0,1620
Super built-up  Area,2 BHK,2.0,1.0,46.96,950
Super built-up  Area,11 BHK,9.0,3.0,360.0,5000
Super built-up  Area,3 BHK,3.0,0.0,120.0,2450
Super built-up  Area,3 BHK,2.0,1.0,35.23,1220
Super built-up  Area,2 BHK,2.0,1.0,30.0,850
Built-up  Area,2 BHK,2.0,2.0,63.0,1020
Built-up  Area,2 BHK,2.0,2.0,50.0,1100
Super built-up  Area,2 BHK,2.0,2.0,126.0,1150
Super built-up  Area,3 BHK,2.0,2.0,130.0,1760
Super built-up  Area,3 BHK,3.0,3.0,110.0,1800
Super built-up  Area,2 BHK,2.0,1.0,54.0,1070
